date,p,variant
2021-08-30,0.001281722635221738,gamma
2021-08-30,0.9943604204050243,delta
2021-08-30,0.0035888233786209867,other
2021-09-13,0.00025634452704436945,alpha
2021-09-13,0.000256344527044333,gamma
2021-09-13,0.9976928992566007,delta
2021-09-13,0.0017944116893106044,other
2021-09-27,0.00025634452704436945,alpha
2021-09-27,0.000256344527044333,gamma
2021-09-27,0.9969238656754676,delta
2021-09-27,0.0025634452704436095,other
2021-10-11,0.00025634452704436945,gamma
2021-10-11,0.997949243783645,delta
2021-10-11,0.0017944116893106044,other
2021-10-25,0.9979492437836452,delta
2021-10-25,0.00025634452704415,oba
2021-10-25,0.0017944116893106044,other
2021-11-08,0.9974365547295564,delta
2021-11-08,0.0025634452704436095,other
2021-11-22,0.9951294539861573,delta
2021-11-22,0.00025634452704448307,oba
2021-11-22,0.004614201486798253,other
2021-12-06,0.9933350422968469,delta
2021-12-06,0.00563957959497563,oba
2021-12-06,0.0010253781081774882,other
2021-12-20,0.7469879518072288,delta
2021-12-20,0.2522430146116381,oba
2021-12-20,0.0007690335811331162,other
2022-01-03,0.15355037169956418,delta
2022-01-03,0.8451679056652139,oba
2022-01-03,0.0012817226352218603,other
2022-01-17,0.028710587028966936,delta
2022-01-17,0.9707767239169443,oba
2022-01-17,0.0005126890540888551,other
2022-01-31,0.00640861317610869,delta
2022-01-31,0.9935913868238913,oba
2022-02-14,0.002307100743399143,delta
2022-02-14,0.9974365547295565,oba
2022-02-14,0.00025634452704437205,other
2022-02-28,0.001025378108177405,delta
2022-02-28,0.9979492437836451,oba
2022-02-28,0.0010253781081774882,other
2022-03-14,0.001025378108177405,delta
2022-03-14,0.9966675211484234,oba
2022-03-14,0.0023071007433992374,other
2022-03-28,0.0007690335811330355,delta
2022-03-28,0.9969238656754678,oba
2022-03-28,0.0023071007433992374,other
2022-04-11,0.00025634452704436945,delta
2022-04-11,0.9961548320943346,oba
2022-04-11,0.0035888233786209867,other
2022-04-25,0.9951294539861573,oba
2022-04-25,0.004870546013842736,other
2022-05-09,0.9953857985132017,oba
2022-05-09,0.004614201486798253,other
2022-05-23,0.9948731094591129,oba
2022-05-23,0.005126890540887108,other
2022-06-06,0.9961548320943346,oba
2022-06-06,0.0038451679056653587,other
2022-06-20,0.9974365547295564,oba
2022-06-20,0.0025634452704436095,other
2022-07-04,0.9984619328377339,oba
2022-07-04,0.0015380671622661213,other
2022-07-18,0.9987182773647781,oba
2022-07-18,0.0012817226352218603,other
2022-08-01,0.9987182773647781,oba
2022-08-01,0.0012817226352218603,other
2022-08-15,0.9987182773647781,oba
