,other
2021-11-03,0.002174
2021-11-04,0.002248
2021-11-05,0.002325
2021-11-06,0.002403
2021-11-07,0.002483
2021-11-08,0.002563
2021-11-09,0.002662
2021-11-10,0.002794
2021-11-11,0.002954
2021-11-12,0.003133
2021-11-13,0.003326
2021-11-14,0.003527
2021-11-15,0.003729
2021-11-16,0.003924
2021-11-17,0.004108
2021-11-18,0.004273
2021-11-19,0.004412
2021-11-20,0.00452
2021-11-21,0.00459
2021-11-22,0.004614
2021-11-23,0.004564
2021-11-24,0.004424
2021-11-25,0.004208
2021-11-26,0.003931
2021-11-27,0.003607
2021-11-28,0.003252
2021-11-29,0.00288
2021-11-30,0.002505
2021-12-01,0.002142
2021-12-02,0.001807
2021-12-03,0.001512
2021-12-04,0.001274
2021-12-05,0.001107
2021-12-06,0.001025
2021-12-07,0.000992
2021-12-08,0.000961
2021-12-09,0.000932
2021-12-10,0.000905
2021-12-11,0.00088
2021-12-12,0.000858
2021-12-13,0.000837
2021-12-14,0.00082
2021-12-15,0.000805
2021-12-16,0.000792
2021-12-17,0.000782
2021-12-18,0.000775
2021-12-19,0.000771
2021-12-20,0.000769
2021-12-21,0.000777
2021-12-22,0.000797
2021-12-23,0.00083
2021-12-24,0.000871
2021-12-25,0.000919
2021-12-26,0.000971
2021-12-27,0.001025
2021-12-28,0.00108
2021-12-29,0.001132
2021-12-30,0.00118
2021-12-31,0.001221
2022-01-01,0.001253
2022-01-02,0.001274
2022-01-03,0.001282
2022-01-04,0.001273
2022-01-05,0.00125
2022-01-06,0.001213
2022-01-07,0.001165
2022-01-08,0.001108
2022-01-09,0.001044
2022-01-10,0.000974
2022-01-11,0.000901
2022-01-12,0.000828
2022-01-13,0.000755
2022-01-14,0.000685
2022-01-15,0.00062
2022-01-16,0.000562
2022-01-17,0.000513
2022-01-18,0.000467
2022-01-19,0.00042
2022-01-20,0.000371
2022-01-21,0.000321
2022-01-22,0.000272
2022-01-23,0.000225
2022-01-24,0.000179
2022-01-25,0.000137
2022-01-26,9.9e-05
2022-01-27,6.6e-05
2022-01-28,3.8e-05
2022-01-29,1.8e-05
2022-01-30,5e-06
2022-01-31,0.0
2022-02-01,2e-06
2022-02-02,7e-06
2022-02-03,1.6e-05
2022-02-04,2.8e-05
2022-02-05,4.3e-05
2022-02-06,6.1e-05
2022-02-07,8e-05
2022-02-08,0.000102
2022-02-09,0.000125
2022-02-10,0.000149
2022-02-11,0.000175
2022-02-12,0.000202
2022-02-13,0.000229
2022-02-14,0.000256
2022-02-15,0.000287
2022-02-16,0.000322
2022-02-17,0.000363
2022-02-18,0.000409
2022-02-19,0.000458
2022-02-20,0.000512
2022-02-21,0.000569
2022-02-22,0.000629
2022-02-23,0.000691
2022-02-24,0.000755
2022-02-25,0.000821
2022-02-26,0.000889
2022-02-27,0.000957
2022-02-28,0.001025
2022-03-01,0.001103
2022-03-02,0.001197
2022-03-03,0.001304
2022-03-04,0.00142
2022-03-05,0.001541
2022-03-06,0.001664
2022-03-07,0.001786
2022-03-08,0.001904
2022-03-09,0.002012
2022-03-10,0.002109
2022-03-11,0.00219
2022-03-12,0.002253
2022-03-13,0.002293
2022-03-14,0.002307
2022-03-15,0.002307
2022-03-16,0.002307
2022-03-17,0.002307
2022-03-18,0.002307
2022-03-19,0.002307
2022-03-20,0.002307
2022-03-21,0.002307
2022-03-22,0.002307
2022-03-23,0.002307
2022-03-24,0.002307
2022-03-25,0.002307
2022-03-26,0.002307
2022-03-27,0.002307
2022-03-28,0.002307
2022-03-29,0.00232
2022-03-30,0.002356
2022-03-31,0.002412
2022-04-01,0.002486
2022-04-02,0.002576
2022-04-03,0.002677
2022-04-04,0.002788
2022-04-05,0.002905
2022-04-06,0.003026
2022-04-07,0.003148
2022-04-08,0.003268
2022-04-09,0.003383
2022-04-10,0.003491
2022-04-11,0.003589
2022-04-12,0.003686
2022-04-13,0.003794
2022-04-14,0.00391
2022-04-15,0.00403
2022-04-16,0.004152
2022-04-17,0.004273
2022-04-18,0.00439
2022-04-19,0.004501
2022-04-20,0.004602
2022-04-21,0.004691
2022-04-22,0.004765
2022-04-23,0.004822
2022-04-24,0.004858
2022-04-25,0.004871
2022-04-26,0.004867
2022-04-27,0.004856
2022-04-28,0.00484
2022-04-29,0.00482
2022-04-30,0.004796
2022-05-01,0.00477
2022-05-02,0.004742
2022-05-03,0.004715
2022-05-04,0.004689
2022-05-05,0.004665
2022-05-06,0.004644
2022-05-07,0.004628
2022-05-08,0.004618
2022-05-09,0.004614
2022-05-10,0.004622
2022-05-11,0.004643
2022-05-12,0.004675
2022-05-13,0.004716
2022-05-14,0.004764
2022-05-15,0.004816
2022-05-16,0.004871
2022-05-17,0.004925
2022-05-18,0.004977
2022-05-19,0.005025
2022-05-20,0.005066
2022-05-21,0.005098
2022-05-22,0.005119
2022-05-23,0.005127
2022-05-24,0.005114
2022-05-25,0.005078
2022-05-26,0.005022
2022-05-27,0.004948
2022-05-28,0.004858
2022-05-29,0.004757
2022-05-30,0.004646
2022-05-31,0.004529
2022-06-01,0.004408
2022-06-02,0.004286
2022-06-03,0.004166
2022-06-04,0.004051
2022-06-05,0.003943
2022-06-06,0.003845
2022-06-07,0.003753
2022-06-08,0.00366
2022-06-09,0.003565
2022-06-10,0.003471
2022-06-11,0.003376
2022-06-12,0.003281
2022-06-13,0.003187
2022-06-14,0.003093
2022-06-15,0.003
2022-06-16,0.002909
2022-06-17,0.002819
2022-06-18,0.002732
2022-06-19,0.002646
2022-06-20,0.002563
2022-06-21,0.00248
2022-06-22,0.002394
2022-06-23,0.002306
2022-06-24,0.002218
2022-06-25,0.00213
2022-06-26,0.002043
2022-06-27,0.00196
2022-06-28,0.001879
2022-06-29,0.001804
2022-06-30,0.001735
2022-07-01,0.001672
2022-07-02,0.001618
2022-07-03,0.001573
2022-07-04,0.001538
2022-07-05,0.001509
2022-07-06,0.001481
2022-07-07,0.001454
2022-07-08,0.001427
2022-07-09,0.001403
2022-07-10,0.00138
2022-07-11,0.001359
2022-07-12,0.00134
2022-07-13,0.001323
2022-07-14,0.001309
2022-07-15,0.001297
2022-07-16,0.001289
2022-07-17,0.001284
2022-07-18,0.001282
2022-07-19,0.001282
2022-07-20,0.001282
2022-07-21,0.001282
2022-07-22,0.001282
2022-07-23,0.001282
2022-07-24,0.001282
2022-07-25,0.001282
2022-07-26,0.001282
2022-07-27,0.001282
2022-07-28,0.001282
2022-07-29,0.001282
2022-07-30,0.001282
2022-07-31,0.001282
2022-08-01,0.001282
2022-08-02,0.001282
2022-08-03,0.001282
2022-08-04,0.001282
2022-08-05,0.001282
2022-08-06,0.001282
2022-08-07,0.001282
2022-08-08,0.001282
2022-08-09,0.001282
2022-08-10,0.001282
2022-08-11,0.001282
2022-08-12,0.001282
2022-08-13,0.001282
2022-08-14,0.001282
2022-08-15,0.001282
2022-08-16,0.001284
2022-08-17,0.00129
2022-08-18,0.0013
2022-08-19,0.001313
2022-08-20,0.001328
