date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2022-07-02,0.157985,0.281126,0.217953,0.394493,0.511745,0.241223,0.220928,0.098535,0.149572,1.005236,0.313207,0.214442,0.154997,0.063679,0.263468,0.124991,0.137153,0.089,0.109288,0.144452,0.228268,0.128965,0.109648,0.017493,0.580739,0.210884,0.357282,0.458831,0.726575,0.215101,0.16209,0.714259,0.228924,0.386918,0.063782,0.119156,0.649794,0.070777,0.331553,0.869082,0.045622,0.304992,0.11032,0.398259,0.320914,0.207331,0.463743,0.547539,0.710977,0.281694,0.1358,0.172836
2022-07-09,0.493703,0.421688,0.204331,0.164372,0.321448,0.189533,0.13808,0.098535,0.299143,0.788862,0.221087,0.214442,0.206663,0.087558,0.146371,0.124991,0.102865,0.178,0.043715,0.072226,0.244573,0.171953,0.109648,0.034986,0.717383,0.259549,0.178641,0.254906,0.694984,0.0717,0.194508,0.023648,0.183139,0.150992,0.063782,0.0766,0.674786,0.011811,0.316132,0.527657,0.045622,0.304992,0.054388,0.184906,0.260742,0.01463,0.154581,0.314544,0.400732,0.394371,0.016975,0.345672
2022-07-16,0.434458,0.068175,0.190709,0.657489,0.267445,0.172302,0.082848,0.098535,0.149572,0.613059,0.248723,0.03484,0.258328,0.095518,0.190283,0.015591,0.034288,0.178,0.109288,0.035824,0.130439,0.2436,0.069776,0.034986,0.717383,0.194662,0.178641,0.356869,0.505443,0.035662,0.226926,0.285704,0.193313,0.405792,0.129523,0.059578,0.59981,0.165146,0.200474,0.496618,0.09171,0.171558,0.054388,0.113788,0.367713,0.01463,0.154581,0.302894,0.387806,0.45071,0.03395,0.518508
2022-07-23,0.217229,0.068175,0.25882,0.460242,0.172296,0.155072,0.165696,0.048455,0.073641,0.473317,0.239511,0.071481,0.025449,0.031839,0.10246,0.031248,0.137153,0.089,0.327864,0.144452,0.081524,0.157623,0.069776,0.052479,0.785706,0.308215,0.044138,0.050981,0.126361,0.143401,0.086448,0.238086,0.050872,0.368044,0.259047,0.093623,0.149953,0.023592,0.262158,0.46558,0.045622,0.304992,0.661917,0.213353,0.350999,0.01463,0.077224,0.442691,0.297318,0.225355,0.008459,0.085608
2022-07-30,0.31597,0.068175,0.272442,0.230121,0.126008,0.155072,0.082848,0.197069,0.073641,0.396685,0.285571,0.142962,0.051666,0.103478,0.219557,0.015591,0.171441,0.15575,0.043715,0.035824,0.06522,0.057318,0.039872,0.052479,0.6149,0.194662,0.044138,0.152944,0.157951,0.143401,0.097254,0.142852,0.086482,0.132118,0.063782,0.068089,0.174945,0.023592,0.215895,0.558696,0.045622,0.38124,1.103195,0.298694,0.280799,0.029619,0.077224,0.407742,0.168049,0.056339,0.03395,0.345672
2022-08-06,0.296222,0.068175,0.149843,0.197247,0.105435,0.206763,0.082848,0.048455,0.299143,0.36513,0.313207,0.214442,0.103331,0.103478,0.20492,0.031248,0.068576,0.15575,0.109288,0.035824,0.06522,0.171953,0.009968,0.034986,0.683222,0.389324,0.044138,0.152944,0.06318,0.0717,0.183702,0.095235,0.055959,0.018874,0.129523,0.034045,0.549826,0.023592,0.223605,0.403503,0.045622,0.209682,0.551598,0.654282,0.290828,0.01463,0.077224,0.221345,0.219757,0.507049,0.10185,0.085608
2022-08-13,0.31597,0.140563,0.149843,0.29587,0.102863,0.172302,0.027616,0.098535,0.073641,0.401193,0.101332,0.071481,0.025449,0.095518,0.073186,0.031248,0.068576,0.178,0.153003,0.144452,0.081524,0.114635,0.029904,0.087465,0.478256,0.243327,0.044138,0.025273,0.03159,0.0717,0.097254,0.52379,0.055959,0.103807,0.38857,0.008511,0.274913,0.047185,0.239026,0.744928,0.045622,0.209682,0.772237,0.256023,0.284142,0.088856,0.077224,0.442691,0.193903,0.056339,0.016975,0.085608
2022-08-20,0.236977,0.140563,0.204331,0.098623,0.100292,0.189533,0.055232,0.098535,0.073641,0.32456,0.165815,0.071481,0.103331,0.095518,0.161008,0.124991,0.102865,0.1335,0.153003,0.035824,0.130439,0.071647,0.019936,0.008714,0.512417,0.243327,0.089321,0.305888,0.06318,0.035662,0.118866,0.285704,0.081395,0.122681,0.063782,0.102134,0.149953,0.011811,0.339263,0.46558,0.045622,0.171558,0.772237,0.227576,0.367713,0.029619,0.077224,0.221345,0.155122,0.112678,0.016975,0.085608
2022-08-27,0.375214,0.140563,0.25882,0.131498,0.077147,0.03446,0.220928,0.098535,0.149572,0.347099,0.175027,0.071481,0.051666,0.127357,0.219557,0.031248,0.034288,0.089,0.174861,0.035824,0.114134,0.143294,0.019936,0.017493,0.444094,0.081109,0.044138,0.458831,0.189541,0.035662,0.151284,0.333321,0.12718,0.122681,0.063782,0.102134,0.199937,0.011811,0.239026,0.68285,0.045622,0.152496,0.772237,0.213353,0.324256,0.01463,0.077224,0.279594,0.090488,0.169016,0.03395,0.085608
2022-09-03,0.454206,0.068175,0.231576,0.230121,0.084862,0.01723,0.110464,0.295604,0.073641,0.306529,0.184239,0.142962,0.154997,0.079598,0.292743,0.093743,0.068576,0.15575,0.174861,0.035824,0.00809,0.114635,0.009968,0.017493,0.751545,0.162218,0.044138,0.40785,0.126361,0.035662,0.10806,0.809493,0.117006,0.084933,0.38857,0.110645,0.174945,0.011811,0.246737,0.869082,0.045622,0.247806,0.772237,0.213353,0.317571,0.029619,0.154581,0.337843,0.103415,0.112678,0.050925,0.085608
