REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,Delaware,2024,43,X,1.00775,X,X,X,X,X,X,117,18,11610
States,District of Columbia,2024,43,X,5.62711,X,X,X,X,X,X,450,6,7997
States,Florida,2024,43,X,3.05388,X,X,X,X,X,X,7482,353,245000
States,Georgia,2024,43,X,3.25809,X,X,X,X,X,X,2591,95,79525
States,Hawaii,2024,43,X,1.91399,X,X,X,X,X,X,620,30,32393
States,Idaho,2024,43,X,1.07276,X,X,X,X,X,X,562,51,52388
States,Illinois,2024,43,X,1.30626,X,X,X,X,X,X,931,175,71272
States,Indiana,2024,43,X,2.36065,X,X,X,X,X,X,1830,153,77521
States,Iowa,2024,43,X,1.21814,X,X,X,X,X,X,54,13,4433
States,Kansas,2024,43,X,1.88413,X,X,X,X,X,X,240,22,12738
States,Kentucky,2024,43,X,0.725045,X,X,X,X,X,X,994,111,137095
States,Louisiana,2024,43,X,2.31441,X,X,X,X,X,X,973,87,42041
States,Maine,2024,43,X,1.57244,X,X,X,X,X,X,257,46,16344
States,Maryland,2024,43,X,2.58756,X,X,X,X,X,X,1168,52,45139
States,Massachusetts,2024,43,X,1.78151,X,X,X,X,X,X,1643,110,92225
States,Michigan,2024,43,X,1.30154,X,X,X,X,X,X,2027,297,155739
States,Minnesota,2024,43,X,1.44029,X,X,X,X,X,X,439,51,30480
States,Mississippi,2024,43,X,2.64454,X,X,X,X,X,X,290,25,10966
States,Missouri,2024,43,X,0.951185,X,X,X,X,X,X,250,41,26283
States,Montana,2024,43,X,0.475624,X,X,X,X,X,X,32,28,6728
States,Nebraska,2024,43,X,1.7579,X,X,X,X,X,X,281,85,15985
States,Nevada,2024,43,X,1.74798,X,X,X,X,X,X,637,59,36442
States,New Hampshire,2024,43,X,1.32192,X,X,X,X,X,X,122,22,9229
States,New Jersey,2024,43,X,4.20129,X,X,X,X,X,X,1168,27,27801
States,New Mexico,2024,43,X,2.43302,X,X,X,X,X,X,395,32,16235
States,New York,2024,43,X,2.02587,X,X,X,X,X,X,1939,157,95712
States,North Carolina,2024,43,X,1.94108,X,X,X,X,X,X,1837,132,94638
States,North Dakota,2024,43,X,0.535443,X,X,X,X,X,X,88,20,16435
States,Ohio,2024,43,X,2.68021,X,X,X,X,X,X,1195,90,44586
States,Oklahoma,2024,43,X,0.831959,X,X,X,X,X,X,222,39,26684
States,Oregon,2024,43,X,1.11366,X,X,X,X,X,X,378,83,33942
States,Pennsylvania,2024,43,X,1.47143,X,X,X,X,X,X,904,87,61437
States,Rhode Island,2024,43,X,1.48042,X,X,X,X,X,X,186,20,12564
States,South Carolina,2024,43,X,2.54751,X,X,X,X,X,X,819,37,32149
States,South Dakota,2024,43,X,0.807254,X,X,X,X,X,X,73,32,9043
States,Tennessee,2024,43,X,2.02177,X,X,X,X,X,X,652,91,32249
States,Texas,2024,43,X,2.8133,X,X,X,X,X,X,1342,46,47702
States,Utah,2024,43,X,0.984347,X,X,X,X,X,X,183,47,18591
States,Vermont,2024,43,X,0.968054,X,X,X,X,X,X,50,11,5165
States,Virginia,2024,43,X,3.22449,X,X,X,X,X,X,3942,198,122252
States,Washington,2024,43,X,1.19527,X,X,X,X,X,X,1188,152,99392
States,West Virginia,2024,43,X,1.31108,X,X,X,X,X,X,172,37,13119
States,Wisconsin,2024,43,X,1.64628,X,X,X,X,X,X,471,61,28610
States,Wyoming,2024,43,X,1.08178,X,X,X,X,X,X,25,12,2311
States,Commonwealth of the Northern Mariana Islands,2024,43,X,X,X,X,X,X,X,X,X,X,X
States,Puerto Rico,2024,43,X,1.70316,X,X,X,X,X,X,21,4,1233
States,Virgin Islands,2024,43,X,1.08499,X,X,X,X,X,X,12,4,1106
States,New York City,2024,43,X,4.50652,X,X,X,X,X,X,5272,98,116986
